n_estimators,max_depth,max_features,mean_cv_accuracy,std_cv_accuracy,train_accuracy
100,None,sqrt,0.8792,0.0125,0.9977
100,None,log2,0.8792,0.0125,0.9977
100,5,sqrt,0.8677,0.0116,0.89
100,5,log2,0.8677,0.0116,0.89
100,8,sqrt,0.8738,0.0123,0.9585
100,8,log2,0.8738,0.0123,0.9585
100,20,sqrt,0.8792,0.0125,0.9977
100,20,log2,0.8792,0.0125,0.9977
200,None,sqrt,0.8831,0.0141,0.9977
200,None,log2,0.8831,0.0141,0.9977
200,5,sqrt,0.8631,0.0159,0.8985
200,5,log2,0.8631,0.0159,0.8985
200,8,sqrt,0.8746,0.0159,0.9577
200,8,log2,0.8746,0.0159,0.9577
200,20,sqrt,0.8831,0.0141,0.9977
200,20,log2,0.8831,0.0141,0.9977
300,None,sqrt,0.8815,0.0141,0.9977
300,None,log2,0.8815,0.0141,0.9977
300,5,sqrt,0.8631,0.0166,0.8954
300,5,log2,0.8631,0.0166,0.8954
300,8,sqrt,0.8723,0.0166,0.9562
300,8,log2,0.8723,0.0166,0.9562
300,20,sqrt,0.8815,0.0141,0.9977
300,20,log2,0.8815,0.0141,0.9977
400,None,sqrt,0.8792,0.0183,0.9977
400,None,log2,0.8792,0.0183,0.9977
400,5,sqrt,0.8638,0.0132,0.8946
400,5,log2,0.8638,0.0132,0.8946
400,8,sqrt,0.87,0.0147,0.9569
400,8,log2,0.87,0.0147,0.9569
400,20,sqrt,0.8792,0.0183,0.9977
400,20,log2,0.8792,0.0183,0.9977
500,None,sqrt,0.8777,0.0157,0.9977
500,None,log2,0.8777,0.0157,0.9977
500,5,sqrt,0.8669,0.0123,0.8962
500,5,log2,0.8669,0.0123,0.8962
500,8,sqrt,0.87,0.016,0.9562
500,8,log2,0.87,0.016,0.9562
500,20,sqrt,0.8777,0.0157,0.9977
500,20,log2,0.8777,0.0157,0.9977
